단지코드,총세대수,지역,공가수,지하철역수,버스정류장수,등록차량수,전용면적_10_30,전용면적_30_40,전용면적_40_50,전용면적_50_100,전용면적_100이상,임대보증금,임대료,상가비율,아파트비율,공급유형_공공임대비율,공급유형_국민임대비율,공급유형_영구임대비율,공급유형_임대상가비율,공급유형_장기전세비율,공급유형_행복주택비율
C1936,240,광주광역시,8.0,0.0,10.0,234.0,0,0,0,240,0,32443000.0,192250.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2049,688,강원도,0.0,0.0,5.0,841.0,0,0,0,688,0,15868906.976744186,88354.56395348837,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2202,623,강원도,0.0,0.0,2.0,226.0,0,89,534,0,0,10619874.799357945,156849.40609951847,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1925,601,강원도,9.0,0.0,4.0,75.0,298,301,0,1,0,8555580.0,136737.3,0.009703872332385564,0.9902961276676144,0.0,0.0,0.9902961276676144,0.009703872332385564,0.0,0.0
C2576,405,경상남도,19.0,0.0,4.0,73.0,0,0,313,92,0,21438646.913580246,178508.0987654321,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1312,518,충청남도,12.0,,3.0,359.0,0,149,368,0,0,21650736.943907157,133601.87620889748,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1874,619,충청남도,2.0,,2.0,62.0,462,151,3,3,0,3146012.9240710824,70009.17609046849,0.049025647110969954,0.9509743528890301,0.0,0.0,0.9509743528890301,0.049025647110969954,0.0,0.0
C2013,595,경상남도,3.0,0.0,3.0,91.0,0,327,267,0,0,15565262.626262626,40875.0505050505,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1424,625,대전광역시,2.0,,7.0,179.0,0,268,356,0,0,18019060.897435896,213881.79487179487,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2100,880,대전광역시,4.0,,5.0,671.0,0,0,0,880,0,23638113.636363637,94533.97727272728,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2520,970,대전광역시,2.0,,2.0,386.0,0,960,0,0,0,13155000.0,177500.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2319,606,대전광역시,1.0,1.0,12.0,266.0,0,0,0,605,0,18541277.685950413,252961.93388429753,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1616,1507,대전광역시,1.0,,2.0,98.0,588,463,450,4,2,20446984.73788985,67973.94824153949,0.02902992191127329,0.9709700780887267,0.0,0.0,0.9709700780887267,0.02902992191127329,0.0,0.0
C1704,639,대전광역시,34.0,,7.0,131.0,0,638,0,0,1,8478403.755868545,117167.69953051643,0.022661257725338793,0.9773387422746612,0.0,0.0,0.9773387422746612,0.022661257725338793,0.0,0.0
C2258,965,대전광역시,13.0,,3.0,78.0,599,184,180,1,1,6458586.528497409,89262.83937823834,0.022866042992055493,0.9771339570079445,0.0,0.0,0.9771339570079445,0.022866042992055493,0.0,0.0
C1032,946,대전광역시,6.0,1.0,2.0,316.0,0,68,69,809,0,30672146.93446089,202452.66384778012,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2038,785,대전광역시,7.0,1.0,10.0,108.0,599,94,90,1,1,6137128.662420382,84819.66878980891,0.029384417650369594,0.9706155823496304,0.0,0.0,0.9706155823496304,0.029384417650369594,0.0,0.0
C1859,2424,대전광역시,1.0,1.0,4.0,116.0,1885,505,0,32,2,5979667.0792079205,82642.93729372937,0.02938231797074729,0.9706176820292527,0.0,0.0,0.9706176820292527,0.02938231797074729,0.0,0.0
C1722,809,강원도,1.0,0.0,6.0,649.0,149,243,416,1,0,10891021.013597034,182938.45488257107,0.007082034838521935,0.9929179651614781,0.7312665171888345,0.0,0.26165144797264356,0.007082034838521935,0.0,0.0
C1850,388,경상남도,0.0,0.0,4.0,254.0,0,89,296,0,0,13771189.61038961,237050.33766233767,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2190,1013,경상남도,7.0,0.0,2.0,129.0,860,151,2,0,0,3175070.088845015,70656.74234945705,0.016388265173051395,0.9836117348269486,0.0,0.0,0.9836117348269486,0.016388265173051395,0.0,0.0
C1476,453,경상남도,6.0,0.0,5.0,70.0,298,154,0,1,0,8396298.013245033,125778.36644591611,0.018236972471311216,0.9817630275286888,0.0,0.0,0.9817630275286888,0.018236972471311216,0.0,0.0
C1077,861,경상남도,21.0,0.0,5.0,236.0,0,258,277,326,0,19147334.49477352,142779.21022067365,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1068,806,충청남도,11.0,,2.0,510.0,0,330,384,91,0,15117362.732919255,126182.73291925466,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1983,903,충청남도,3.0,,4.0,253.0,478,423,0,1,1,8872739.756367663,132403.7984496124,0.016285572201565655,0.9837144277984343,0.40900662949582245,0.0,0.574707798302612,0.016285572201565655,0.0,0.0
C2135,1116,부산광역시,10.0,1.0,3.0,127.0,664,450,0,1,1,9752688.17204301,127810.3046594982,0.020716926850003668,0.9792830731499963,0.0,0.0,0.9792830731499963,0.020716926850003668,0.0,0.0
C2034,1486,부산광역시,2.0,1.0,3.0,132.0,727,756,0,2,1,9865467.698519515,128866.4535666218,0.022904835014826215,0.9770951649851738,0.0,0.0,0.9770951649851738,0.022904835014826215,0.0,0.0
C1109,1957,부산광역시,1.0,1.0,2.0,313.0,1503,452,0,1,1,5975912.6213592235,82591.07307102709,0.01735706860036,0.98264293139964,0.0,0.0,0.98264293139964,0.01735706860036,0.0,0.0
C1497,802,부산광역시,7.0,1.0,14.0,382.0,0,802,0,0,0,13220527.431421446,168220.03740648378,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2289,1527,부산광역시,2.0,0.0,3.0,364.0,970,550,0,6,1,6093117.878192535,84211.02161100197,0.03256217887737916,0.9674378211226209,0.0,0.0,0.9674378211226209,0.03256217887737916,0.0,0.0
C2597,1005,부산광역시,25.0,0.0,2.0,94.0,760,239,2,3,1,5878274.626865672,81241.6616915423,0.03904926447753096,0.960950735522469,0.0,0.0,0.960950735522469,0.03904926447753096,0.0,0.0
C2310,1988,부산광역시,1.0,0.0,2.0,189.0,1670,311,0,6,1,5891571.428571428,81425.36217303823,0.026041506039695763,0.9739584939603042,0.0,0.0,0.9739584939603042,0.026041506039695763,0.0,0.0
C1672,1350,부산광역시,15.0,0.0,1.0,873.0,0,0,0,1350,0,18310973.333333332,224665.65925925926,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2132,2428,부산광역시,1.0,0.0,1.0,359.0,1565,854,1,6,2,4314358.731466227,71898.70263591433,0.03453275690631371,0.9654672430936864,0.0,0.0,0.9654672430936864,0.03453275690631371,0.0,0.0
C1439,1755,부산광역시,29.0,1.0,3.0,172.0,1499,131,122,1,2,5922170.94017094,81848.54700854702,0.0392342063270848,0.9607657936729151,0.0,0.0,0.9607657936729151,0.0392342063270848,0.0,0.0
C1613,840,부산광역시,7.0,1.0,1.0,498.0,0,0,0,840,0,20892166.666666668,265028.7619047619,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2216,390,충청남도,2.0,,1.0,149.0,0,390,0,0,0,9443461.538461538,132876.92307692306,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1899,451,경상남도,0.0,0.0,4.0,31.0,298,153,0,0,0,8000738.359201774,120032.54988913526,0.010147518362740589,0.9898524816372595,0.0,0.0,0.9898524816372595,0.010147518362740589,0.0,0.0
C1056,410,제주특별자치도,0.0,0.0,10.0,125.0,200,210,0,0,0,3301951.2195121953,73473.17073170732,0.027254673697185507,0.9727453263028145,0.0,0.0,0.9727453263028145,0.027254673697185507,0.0,0.0
C2644,779,충청남도,7.0,,12.0,177.0,388,387,3,0,0,10239800.771208227,143881.37532133676,0.0059435399762562905,0.9940564600237437,0.5841084629935104,0.0,0.4099479970302334,0.0059435399762562905,0.0,0.0
C1206,755,강원도,1.0,0.0,4.0,90.0,239,247,0,1,1,3365590.1639344264,74893.19672131147,0.03200620620901726,0.9679937937909828,0.0,0.0,0.9679937937909828,0.03200620620901726,0.0,0.0
C2481,693,울산광역시,2.0,0.0,2.0,302.0,0,435,258,0,0,11898549.783549784,84118.35497835498,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1718,753,울산광역시,23.0,0.0,2.0,496.0,0,0,566,187,0,26208961.487383798,202763.86454183268,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1430,1533,부산광역시,32.0,0.0,3.0,839.0,0,0,0,1533,0,33244649.706457924,195515.68166992825,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1775,711,제주특별자치도,5.0,0.0,8.0,96.0,360,350,0,0,1,4242160.337552743,78750.04219409282,0.028721722091916403,0.9712782779080836,0.0,0.0,0.9712782779080836,0.028721722091916403,0.0,0.0
C1519,420,제주특별자치도,0.0,0.0,0.0,235.0,0,252,168,0,0,15199600.0,91552.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2221,590,제주특별자치도,1.0,0.0,3.0,359.0,0,0,590,0,0,15403888.13559322,246646.61016949153,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1790,657,경상남도,2.0,0.0,4.0,120.0,265,388,1,2,1,3346007.610350076,74456.40791476407,0.055959735059226995,0.944040264940773,0.0,0.0,0.944040264940773,0.055959735059226995,0.0,0.0
C2109,495,경상남도,2.0,0.0,4.0,60.0,288,206,0,0,1,3234133.3333333335,71963.15151515152,0.04085581589223503,0.959144184107765,0.0,0.0,0.959144184107765,0.04085581589223503,0.0,0.0
C1698,460,경상남도,1.0,0.0,3.0,65.0,0,460,0,0,0,12752139.130434783,160621.04347826086,0.007125400387568507,0.9928745996124314,0.0,0.0,0.9928745996124314,0.007125400387568507,0.0,0.0
C1005,1144,충청남도,16.0,,8.0,376.0,0,0,0,1144,0,16818111.88811189,217779.44055944055,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1875,1003,충청남도,5.0,,8.0,209.0,849,152,0,1,1,3169146.5603190428,70524.90528414756,0.025799192693721197,0.9742008073062788,0.0,0.0,0.9742008073062788,0.025799192693721197,0.0,0.0
C2156,306,충청남도,0.0,,1.0,204.0,0,240,0,65,0,12020573.770491803,94432.45901639345,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2212,697,강원도,0.0,0.0,4.0,86.0,298,394,0,4,1,4389767.575322812,81499.79913916787,0.02832180956575491,0.9716781904342451,0.0,0.0,0.9716781904342451,0.02832180956575491,0.0,0.0
C2401,213,강원도,21.0,0.0,3.0,19.0,0,65,104,44,0,35984497.65258216,77555.5868544601,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2571,481,경상남도,5.0,0.0,1.0,62.0,468,12,0,0,1,2973405.4054054054,66162.16216216216,0.0395902221731081,0.960409777826892,0.0,0.0,0.960409777826892,0.0395902221731081,0.0,0.0
C1175,468,충청남도,15.0,,2.0,430.0,0,0,198,270,0,27292846.153846152,163795.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1833,1364,제주특별자치도,19.0,0.0,5.0,1001.0,0,802,342,220,0,16522577.712609971,143405.1759530792,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2445,800,충청북도,16.0,0.0,4.0,334.0,0,522,135,143,0,12285916.25,112427.475,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1885,830,전라남도,14.0,0.0,4.0,616.0,0,498,332,0,0,18263600.0,118224.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2368,775,전라남도,10.0,0.0,4.0,548.0,0,465,0,310,0,19705600.0,133120.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2016,261,충청북도,15.0,0.0,2.0,220.0,0,128,133,0,0,12291490.421455938,104317.24137931035,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2371,474,경상북도,20.0,0.0,1.0,451.0,0,264,164,46,0,13528354.430379746,89567.38396624473,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2536,72,전라북도,7.0,0.0,1.0,47.0,0,48,24,0,0,10586666.666666666,58803.333333333336,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2538,1473,경기도,13.0,0.0,3.0,799.0,188,706,296,283,0,24869841.819416158,265970.97759674134,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1014,996,전라북도,5.0,0.0,2.0,708.0,0,516,280,200,0,17621345.381526105,148407.38955823294,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1592,870,강원도,13.0,0.0,5.0,739.0,0,528,206,136,0,15672793.103448275,202792.183908046,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1867,678,경상남도,26.0,0.0,2.0,374.0,0,454,84,140,0,13177876.10619469,123895.2802359882,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2326,632,충청북도,15.0,0.0,4.0,557.0,0,458,174,0,0,13887813.291139241,119864.11392405063,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1015,961,부산광역시,28.0,0.0,3.0,579.0,0,475,380,106,0,13812204.994797086,121312.16441207076,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1620,1232,광주광역시,22.0,0.0,4.0,1101.0,0,709,523,0,0,19700843.344155844,112040.34090909091,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1049,676,광주광역시,18.0,0.0,3.0,762.0,0,389,0,287,0,22252417.159763314,126324.6449704142,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2000,1300,경상남도,21.0,0.0,2.0,795.0,0,450,700,150,0,17544400.0,151116.07692307694,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2097,998,경상북도,29.0,0.0,2.0,995.0,0,551,359,88,0,39134497.99599198,91821.33266533066,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1668,493,전라남도,7.0,0.0,4.0,288.0,0,221,152,120,0,13433198.78296146,106652.92089249493,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1689,1117,경기도,4.0,1.0,3.0,960.0,186,444,339,148,0,33857211.28021486,226816.44583706357,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1234,307,강원도,1.0,0.0,2.0,311.0,0,0,0,307,0,22938951.140065145,149183.55048859934,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2514,501,경상남도,10.0,0.0,1.0,648.0,0,0,224,277,0,15680107.784431137,151049.54091816366,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1368,896,경상북도,29.0,0.0,10.0,861.0,0,176,180,540,0,20302004.464285713,172256.11607142858,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1057,521,경상북도,24.0,0.0,4.0,521.0,0,134,135,252,0,19493573.896353167,165445.45105566218,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2256,409,경상남도,7.0,0.0,1.0,344.0,88,131,132,58,0,12630684.596577017,111311.19804400978,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1900,586,전라북도,2.0,0.0,2.0,596.0,0,236,206,144,0,15427174.061433448,99595.97269624574,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2666,1084,부산광역시,23.0,0.0,1.0,701.0,0,458,626,0,0,19226422.509225093,135929.24354243543,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2361,1174,경기도,9.0,0.0,4.0,1117.0,0,422,382,370,0,37314724.02044293,261499.65928449744,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1642,270,전라남도,14.0,0.0,6.0,297.0,0,120,150,0,0,15257444.444444444,94520.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1013,1308,광주광역시,16.0,0.0,6.0,1665.0,0,291,757,260,0,24830898.318042815,134092.21712538227,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1973,384,광주광역시,15.0,0.0,3.0,457.0,0,84,0,300,0,35304937.5,197789.6875,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2458,853,광주광역시,28.0,0.0,3.0,910.0,0,0,551,302,0,60961946.072684646,84932.64947245018,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2574,996,광주광역시,14.0,0.0,6.0,826.0,0,444,390,162,0,24448795.180722892,133267.2891566265,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2133,355,광주광역시,10.0,0.0,3.0,328.0,0,128,143,84,0,25442622.53521127,138144.70422535212,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2096,492,광주광역시,11.0,0.0,2.0,525.0,0,248,244,0,0,15343967.479674798,88352.19512195123,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2010,861,광주광역시,15.0,0.0,3.0,690.0,0,498,363,0,0,19087425.087108012,93854.49477351917,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1879,711,광주광역시,12.0,0.0,2.0,713.0,0,0,355,356,0,22300485.23206751,122946.99015471168,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1131,901,광주광역시,10.0,0.0,7.0,1019.0,0,0,0,901,0,19768334.073251944,160252.98557158714,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1468,815,광주광역시,17.0,0.0,1.0,810.0,0,503,312,0,0,19719720.245398775,108933.84049079755,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1213,312,전라북도,8.0,0.0,6.0,148.0,0,177,135,0,0,15597048.076923076,90358.26923076923,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1173,571,충청남도,7.0,0.0,2.0,609.0,0,98,401,72,0,18327905.429071803,143310.0700525394,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2492,594,경상북도,23.0,0.0,5.0,585.0,0,120,0,474,0,17154939.393939395,129973.53535353535,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2032,944,경상남도,23.0,0.0,1.0,1162.0,0,0,0,944,0,30172037.076271188,181031.55720338982,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2094,410,경상남도,16.0,0.0,20.0,318.0,0,223,187,0,0,15658646.341463415,109621.46341463414,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1880,635,경상남도,15.0,0.0,20.0,761.0,0,0,0,635,0,23546683.464566927,134964.94488188977,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2089,962,경상남도,27.0,0.0,1.0,572.0,0,473,129,360,0,18164486.486486487,134795.80041580042,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2046,1129,경기도,10.0,0.0,4.0,1306.0,0,0,446,683,0,26215203.72010629,219095.473870682,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2635,330,경기도,1.0,0.0,3.0,442.0,0,0,0,330,0,32447272.727272727,271656.36363636365,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2390,386,경기도,4.0,0.0,4.0,422.0,0,0,0,386,0,33912176.16580311,284130.36269430054,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2561,456,경기도,7.0,1.0,4.0,441.0,0,120,120,216,0,20109052.63157895,237671.05263157896,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1663,642,대전광역시,3.0,1.0,5.0,700.0,0,0,0,642,0,18265757.009345796,248546.82242990655,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2490,302,대구광역시,4.0,0.0,2.0,340.0,0,0,0,302,0,24228079.470198676,211895.09933774834,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2066,757,대구광역시,22.0,0.0,2.0,503.0,0,505,252,0,0,15892960.36988111,128652.41743725231,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1585,705,대구광역시,12.0,1.0,3.0,718.0,0,294,411,0,0,22080608.510638297,184876.68085106384,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2276,1072,대전광역시,18.0,0.0,4.0,1159.0,0,0,0,1072,0,19366975.746268656,181684.12313432837,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1155,375,대전광역시,9.0,1.0,10.0,373.0,0,0,0,375,0,35456224.0,203298.66666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1693,853,대전광역시,20.0,0.0,6.0,1087.0,0,0,125,728,0,33538214.536928486,208619.51934349356,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1889,1018,경기도,14.0,0.0,2.0,808.0,0,177,180,661,0,17528426.326129667,122603.44793713163,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1962,416,강원도,9.0,0.0,3.0,401.0,0,0,0,416,0,20988326.923076924,198923.89423076922,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1666,708,전라남도,20.0,0.0,4.0,465.0,0,279,279,150,0,17114576.27118644,117015.25423728813,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1988,475,전라남도,12.0,0.0,2.0,402.0,0,243,232,0,0,13627044.210526315,95710.77894736842,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1537,662,충청남도,17.0,0.0,3.0,669.0,0,0,0,662,0,27598906.344410878,131515.58912386707,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1762,462,전라북도,4.0,0.0,2.0,460.0,0,0,0,462,0,20574181.818181816,114705.1948051948,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2008,781,경기도,7.0,2.0,5.0,548.0,0,266,248,267,0,24604444.302176695,233325.48015364917,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1319,496,경상남도,16.0,0.0,1.0,398.0,82,204,82,128,0,13917052.41935484,123662.45967741935,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1141,630,경상남도,28.0,0.0,2.0,620.0,0,189,159,282,0,16137661.904761905,102429.90476190476,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2340,512,서울특별시,15.0,0.0,3.0,382.0,0,512,0,0,0,32454000.0,281700.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1929,492,충청남도,19.0,0.0,4.0,413.0,0,180,148,164,0,20217191.05691057,151560.36585365853,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1681,534,경기도,9.0,0.0,7.0,520.0,0,225,220,89,0,29979161.04868914,223034.1573033708,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2383,762,경기도,14.0,0.0,3.0,832.0,0,278,290,194,0,32972590.551181104,237073.43832020997,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2173,775,경기도,4.0,1.0,2.0,745.0,0,246,336,193,0,38629402.58064516,265181.67741935485,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1911,890,부산광역시,21.0,1.0,2.0,831.0,0,0,0,890,0,30996505.61797753,252480.22471910113,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1638,494,전라북도,10.0,0.0,6.0,413.0,0,0,71,423,0,21343514.170040485,107695.68825910932,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2412,571,전라남도,10.0,0.0,2.0,487.0,0,324,175,72,0,18945213.660245184,119961.59369527145,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1871,550,전라남도,15.0,0.0,4.0,408.0,0,217,333,0,0,13288996.363636363,80898.12727272727,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1309,383,전라남도,15.0,0.0,4.0,446.0,0,87,206,90,0,18461600.522193212,100560.75718015665,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1527,996,경상북도,23.0,0.0,4.0,1150.0,0,0,344,652,0,18550648.59437751,150298.7550200803,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2208,882,경기도,16.0,0.0,2.0,840.0,0,307,437,138,0,28291265.30612245,198173.92290249432,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1940,615,경기도,16.0,0.0,2.0,709.0,0,114,373,128,0,33130278.048780486,224454.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2227,477,경기도,9.0,0.0,8.0,505.0,0,187,176,114,0,28212664.570230607,197062.95597484277,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2563,496,경기도,9.0,0.0,2.0,449.0,0,290,206,0,0,14291794.35483871,168340.40322580645,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2358,1260,경상남도,24.0,0.0,8.0,1010.0,0,554,706,0,0,20669165.07936508,131897.52380952382,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1492,390,경기도,15.0,0.0,2.0,296.0,0,275,115,0,0,12186564.102564102,73171.38461538461,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1601,330,경기도,13.0,0.0,4.0,308.0,0,0,123,207,0,25988327.272727273,177714.81818181818,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1687,773,경기도,26.0,0.0,3.0,349.0,0,348,425,0,0,20129631.306597672,137852.14747736094,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1236,1124,경기도,29.0,0.0,2.0,657.0,0,254,870,0,0,21979074.733096085,150459.4128113879,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1487,550,경기도,15.0,0.0,8.0,505.0,0,0,0,550,0,25967000.0,143308.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
