단지코드,총세대수,지역,공가수,지하철역수,버스정류장수,등록차량수,전용면적_10_30,전용면적_30_40,전용면적_40_50,전용면적_50_100,전용면적 100이상,상가비율,아파트비율,공급유형_공공임대비율,공급유형_국민임대비율,공급유형_영구임대비율,공급유형_임대상가비율,공급유형_장기전세비율,공급유형_행복주택비율
C1068,806,충청남도,11.0,,2.0,510.0,0,330,384,91,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1983,903,충청남도,3.0,,4.0,253.0,478,423,0,1,1,0.016285572201565655,0.9837144277984343,0.4157778090244997,0.0,0.5842221909755003,0.016555182826801653,0.0,0.0
C2135,1116,부산광역시,10.0,1.0,3.0,127.0,664,450,0,1,1,0.020716926850003668,0.9792830731499963,0.0,0.0,1.0,0.02115519752972435,0.0,0.0
C2034,1486,부산광역시,2.0,1.0,3.0,132.0,727,756,0,2,1,0.022904835014826215,0.9770951649851738,0.0,0.0,1.0,0.023441764769323945,0.0,0.0
C1109,1957,부산광역시,1.0,1.0,2.0,313.0,1503,452,0,1,1,0.01735706860036,0.98264293139964,0.0,0.0,1.0,0.01766365792265685,0.0,0.0
C1497,802,부산광역시,7.0,1.0,14.0,382.0,0,802,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2289,1527,부산광역시,2.0,0.0,3.0,364.0,970,550,0,6,1,0.03256217887737916,0.9674378211226209,0.0,0.0,1.0,0.03365816196806716,0.0,0.0
C2597,1005,부산광역시,25.0,0.0,2.0,94.0,760,239,2,3,1,0.03904926447753096,0.960950735522469,0.0,0.0,1.0,0.04063607324916596,0.0,0.0
C2310,1988,부산광역시,1.0,0.0,2.0,189.0,1670,311,0,6,1,0.026041506039695763,0.9739584939603042,0.0,0.0,1.0,0.026737798582982676,0.0,0.0
C1672,1350,부산광역시,15.0,0.0,1.0,873.0,0,0,0,1350,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2132,2428,부산광역시,1.0,0.0,1.0,359.0,1565,854,1,6,2,0.03453275690631371,0.9654672430936864,0.0,0.0,1.0,0.03576792185683999,0.0,0.0
C1439,1755,부산광역시,29.0,1.0,3.0,172.0,1499,131,122,1,2,0.0392342063270848,0.9607657936729151,0.0,0.0,1.0,0.040836389664848705,0.0,0.0
C1613,840,부산광역시,7.0,1.0,1.0,498.0,0,0,0,840,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2216,390,충청남도,2.0,,1.0,149.0,0,390,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1899,451,경상남도,0.0,0.0,4.0,31.0,298,153,0,0,0,0.010147518362740589,0.9898524816372595,0.0,0.0,1.0,0.010251546115190972,0.0,0.0
C1056,410,제주특별자치도,0.0,0.0,10.0,125.0,200,210,0,0,0,0.027254673697185507,0.9727453263028145,0.0,0.0,1.0,0.028018303414290742,0.0,0.0
C2644,779,충청남도,7.0,,12.0,177.0,388,387,3,0,0,0.0059435399762562905,0.9940564600237437,0.5876008923874994,0.0,0.4123991076125007,0.0059790768585864075,0.0,0.0
C1206,755,강원도,1.0,0.0,4.0,90.0,239,247,0,1,1,0.03200620620901726,0.9679937937909828,0.0,0.0,1.0,0.03306447460129926,0.0,0.0
C2481,693,울산광역시,2.0,0.0,2.0,302.0,0,435,258,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1718,753,울산광역시,23.0,0.0,2.0,496.0,0,0,566,187,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1430,1533,부산광역시,32.0,0.0,3.0,839.0,0,0,0,1533,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1775,711,제주특별자치도,5.0,0.0,8.0,96.0,360,350,0,0,1,0.028721722091916403,0.9712782779080836,0.0,0.0,1.0,0.029571053677609857,0.0,0.0
C1519,420,제주특별자치도,0.0,0.0,0.0,235.0,0,252,168,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2221,590,제주특별자치도,1.0,0.0,3.0,359.0,0,0,590,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1790,657,경상남도,2.0,0.0,4.0,120.0,265,388,1,2,1,0.055959735059226995,0.944040264940773,0.0,0.0,1.0,0.0592768519918351,0.0,0.0
C2109,495,경상남도,2.0,0.0,4.0,60.0,288,206,0,0,1,0.04085581589223503,0.959144184107765,0.0,0.0,1.0,0.042596114921179214,0.0,0.0
C1698,460,경상남도,1.0,0.0,3.0,65.0,0,460,0,0,0,0.007125400387568507,0.9928745996124314,0.0,0.0,1.0,0.007176536080538174,0.0,0.0
C1005,1144,충청남도,16.0,,8.0,376.0,0,0,0,1144,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1875,1003,충청남도,5.0,,8.0,209.0,849,152,0,1,1,0.025799192693721197,0.9742008073062788,0.0,0.0,1.0,0.026482417690719687,0.0,0.0
C2156,306,충청남도,0.0,,1.0,204.0,0,240,0,65,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2212,697,강원도,0.0,0.0,4.0,86.0,298,394,0,4,1,0.02832180956575491,0.9716781904342451,0.0,0.0,1.0,0.029147314249276125,0.0,0.0
C2401,213,강원도,21.0,0.0,3.0,19.0,0,65,104,44,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2571,481,경상남도,5.0,0.0,1.0,62.0,468,12,0,0,1,0.0395902221731081,0.960409777826892,0.0,0.0,1.0,0.04122221898103582,0.0,0.0
C1175,468,충청남도,15.0,,2.0,430.0,0,0,198,270,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1833,1364,제주특별자치도,19.0,0.0,5.0,1001.0,0,802,342,220,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2445,800,충청북도,16.0,0.0,4.0,334.0,0,522,135,143,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1885,830,전라남도,14.0,0.0,4.0,616.0,0,498,332,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2368,775,전라남도,10.0,0.0,4.0,548.0,0,465,0,310,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2016,261,충청북도,15.0,0.0,2.0,220.0,0,128,133,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2371,474,경상북도,20.0,0.0,1.0,451.0,0,264,164,46,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2536,72,전라북도,7.0,0.0,1.0,47.0,0,48,24,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2538,1473,경기도,13.0,0.0,3.0,799.0,188,706,296,283,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1014,996,전라북도,5.0,0.0,2.0,708.0,0,516,280,200,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1592,870,강원도,13.0,0.0,5.0,739.0,0,528,206,136,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1867,678,경상남도,26.0,0.0,2.0,374.0,0,454,84,140,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2326,632,충청북도,15.0,0.0,4.0,557.0,0,458,174,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1015,961,부산광역시,28.0,0.0,3.0,579.0,0,475,380,106,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1620,1232,광주광역시,22.0,0.0,4.0,1101.0,0,709,523,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1049,676,광주광역시,18.0,0.0,3.0,762.0,0,389,0,287,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2000,1300,경상남도,21.0,0.0,2.0,795.0,0,450,700,150,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2097,998,경상북도,29.0,0.0,2.0,995.0,0,551,359,88,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1668,493,전라남도,7.0,0.0,4.0,288.0,0,221,152,120,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1689,1117,경기도,4.0,1.0,3.0,960.0,186,444,339,148,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1234,307,강원도,1.0,0.0,2.0,311.0,0,0,0,307,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2514,501,경상남도,10.0,0.0,1.0,648.0,0,0,224,277,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1368,896,경상북도,29.0,0.0,10.0,861.0,0,176,180,540,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1057,521,경상북도,24.0,0.0,4.0,521.0,0,134,135,252,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2256,409,경상남도,7.0,0.0,1.0,344.0,88,131,132,58,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1900,586,전라북도,2.0,0.0,2.0,596.0,0,236,206,144,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2666,1084,부산광역시,23.0,0.0,1.0,701.0,0,458,626,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2361,1174,경기도,9.0,0.0,4.0,1117.0,0,422,382,370,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1642,270,전라남도,14.0,0.0,6.0,297.0,0,120,150,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1013,1308,광주광역시,16.0,0.0,6.0,1665.0,0,291,757,260,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1973,384,광주광역시,15.0,0.0,3.0,457.0,0,84,0,300,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2458,853,광주광역시,28.0,0.0,3.0,910.0,0,0,551,302,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2574,996,광주광역시,14.0,0.0,6.0,826.0,0,444,390,162,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2133,355,광주광역시,10.0,0.0,3.0,328.0,0,128,143,84,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2096,492,광주광역시,11.0,0.0,2.0,525.0,0,248,244,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2010,861,광주광역시,15.0,0.0,3.0,690.0,0,498,363,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1879,711,광주광역시,12.0,0.0,2.0,713.0,0,0,355,356,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1131,901,광주광역시,10.0,0.0,7.0,1019.0,0,0,0,901,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1468,815,광주광역시,17.0,0.0,1.0,810.0,0,503,312,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1213,312,전라북도,8.0,0.0,6.0,148.0,0,177,135,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1173,571,충청남도,7.0,0.0,2.0,609.0,0,98,401,72,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2492,594,경상북도,23.0,0.0,5.0,585.0,0,120,0,474,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2032,944,경상남도,23.0,0.0,1.0,1162.0,0,0,0,944,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2094,410,경상남도,16.0,0.0,20.0,318.0,0,223,187,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1880,635,경상남도,15.0,0.0,20.0,761.0,0,0,0,635,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2089,962,경상남도,27.0,0.0,1.0,572.0,0,473,129,360,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2046,1129,경기도,10.0,0.0,4.0,1306.0,0,0,446,683,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2635,330,경기도,1.0,0.0,3.0,442.0,0,0,0,330,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2390,386,경기도,4.0,0.0,4.0,422.0,0,0,0,386,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2561,456,경기도,7.0,1.0,4.0,441.0,0,120,120,216,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1663,642,대전광역시,3.0,1.0,5.0,700.0,0,0,0,642,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2490,302,대구광역시,4.0,0.0,2.0,340.0,0,0,0,302,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2066,757,대구광역시,22.0,0.0,2.0,503.0,0,505,252,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1585,705,대구광역시,12.0,1.0,3.0,718.0,0,294,411,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2276,1072,대전광역시,18.0,0.0,4.0,1159.0,0,0,0,1072,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1155,375,대전광역시,9.0,1.0,10.0,373.0,0,0,0,375,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1693,853,대전광역시,20.0,0.0,6.0,1087.0,0,0,125,728,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1889,1018,경기도,14.0,0.0,2.0,808.0,0,177,180,661,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1962,416,강원도,9.0,0.0,3.0,401.0,0,0,0,416,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1666,708,전라남도,20.0,0.0,4.0,465.0,0,279,279,150,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1988,475,전라남도,12.0,0.0,2.0,402.0,0,243,232,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1537,662,충청남도,17.0,0.0,3.0,669.0,0,0,0,662,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1762,462,전라북도,4.0,0.0,2.0,460.0,0,0,0,462,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2008,781,경기도,7.0,2.0,5.0,548.0,0,266,248,267,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1319,496,경상남도,16.0,0.0,1.0,398.0,82,204,82,128,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1141,630,경상남도,28.0,0.0,2.0,620.0,0,189,159,282,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2340,512,서울특별시,15.0,0.0,3.0,382.0,0,512,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1929,492,충청남도,19.0,0.0,4.0,413.0,0,180,148,164,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1681,534,경기도,9.0,0.0,7.0,520.0,0,225,220,89,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2383,762,경기도,14.0,0.0,3.0,832.0,0,278,290,194,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2173,775,경기도,4.0,1.0,2.0,745.0,0,246,336,193,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1911,890,부산광역시,21.0,1.0,2.0,831.0,0,0,0,890,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1638,494,전라북도,10.0,0.0,6.0,413.0,0,0,71,423,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2412,571,전라남도,10.0,0.0,2.0,487.0,0,324,175,72,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1871,550,전라남도,15.0,0.0,4.0,408.0,0,217,333,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1309,383,전라남도,15.0,0.0,4.0,446.0,0,87,206,90,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1527,996,경상북도,23.0,0.0,4.0,1150.0,0,0,344,652,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2208,882,경기도,16.0,0.0,2.0,840.0,0,307,437,138,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1940,615,경기도,16.0,0.0,2.0,709.0,0,114,373,128,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2227,477,경기도,9.0,0.0,8.0,505.0,0,187,176,114,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2563,496,경기도,9.0,0.0,2.0,449.0,0,290,206,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2358,1260,경상남도,24.0,0.0,8.0,1010.0,0,554,706,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1492,390,경기도,15.0,0.0,2.0,296.0,0,275,115,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1601,330,경기도,13.0,0.0,4.0,308.0,0,0,123,207,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1687,773,경기도,26.0,0.0,3.0,349.0,0,348,425,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1236,1124,경기도,29.0,0.0,2.0,657.0,0,254,870,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1487,550,경기도,15.0,0.0,8.0,505.0,0,0,0,550,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1379,324,경기도,10.0,0.0,2.0,294.0,0,204,120,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1386,1497,전라남도,15.0,0.0,5.0,1145.0,0,841,656,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1656,531,전라남도,7.0,0.0,2.0,257.0,0,104,251,176,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2526,355,경상북도,16.0,0.0,2.0,321.0,0,92,0,263,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1022,389,경기도,4.0,0.0,4.0,450.0,0,0,389,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1896,712,경기도,3.0,0.0,2.0,845.0,0,252,318,142,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1269,561,경기도,1.0,0.0,3.0,643.0,0,153,156,252,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1916,816,경기도,2.0,1.0,4.0,752.0,0,279,274,263,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2070,898,경기도,6.0,0.0,3.0,735.0,0,242,234,422,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1967,581,경기도,6.0,0.0,3.0,639.0,0,238,343,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2021,851,경기도,7.0,0.0,3.0,902.0,0,225,347,279,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1143,693,경기도,3.0,1.0,11.0,632.0,0,455,238,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2188,136,경기도,3.0,0.0,2.0,125.0,0,136,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2651,225,경기도,5.0,0.0,2.0,282.0,0,113,112,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1036,742,경기도,13.0,0.0,3.0,1279.0,0,135,387,220,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2657,866,경기도,7.0,0.0,4.0,782.0,0,238,464,164,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1502,407,울산광역시,7.0,0.0,5.0,438.0,0,0,407,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2262,720,울산광역시,30.0,0.0,4.0,540.0,0,248,187,285,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1084,280,경상북도,2.0,0.0,2.0,226.0,0,96,136,48,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2530,307,강원도,19.0,0.0,5.0,302.0,0,53,45,209,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1046,232,강원도,9.0,0.0,4.0,156.0,0,174,0,58,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1761,602,강원도,18.0,0.0,2.0,730.0,0,150,236,216,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1102,522,강원도,21.0,0.0,7.0,417.0,0,180,252,90,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2420,457,대구광역시,3.0,1.0,8.0,505.0,0,119,78,260,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1122,808,대구광역시,7.0,2.0,2.0,1077.0,0,219,589,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2042,712,대구광역시,13.0,2.0,7.0,757.0,0,129,583,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1410,356,충청북도,10.0,0.0,3.0,815.0,0,208,0,148,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1706,467,경기도,7.0,1.0,5.0,362.0,0,160,0,307,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1307,506,경기도,9.0,0.0,3.0,504.0,0,155,164,187,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2601,243,경기도,7.0,0.0,3.0,281.0,0,0,0,243,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1085,525,경기도,4.0,0.0,2.0,521.0,0,270,255,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2385,445,경기도,4.0,0.0,4.0,552.0,0,0,240,205,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1059,514,전라북도,7.0,0.0,8.0,246.0,0,256,258,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1819,330,전라남도,15.0,0.0,1.0,272.0,0,0,0,330,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2325,378,전라북도,3.0,0.0,1.0,293.0,0,118,176,84,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2394,277,충청남도,20.0,0.0,2.0,254.0,0,86,102,89,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1133,856,전라북도,10.0,0.0,3.0,842.0,0,356,390,110,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
